"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SZ","000021","Shenzhen Kaifa","","000021.SZ","SZ000021","sz","","electronics manufacturing"
"SZ","000063","ZTE","","000063.SZ","SZ000063","sz","","telecom equipment and servers"
"SZ","000066","China Greatwall","","000066.SZ","SZ000066","sz","","domestic computing hardware"
"SZ","000938","Unisplendour","","000938.SZ","SZ000938","sz","","networking and cloud infrastructure"
"SZ","000977","Inspur Information","","000977.SZ","SZ000977","sz","","AI server"
"SZ","000988","Huagong Tech","","000988.SZ","SZ000988","sz","","optical modules and laser equipment"
"SZ","002049","Unigroup Guoxin","","002049.SZ","SZ002049","sz","","chips and memory"
"SZ","002050","Sanhua Intelligent Controls","","002050.SZ","SZ002050","sz","","thermal management and robotics components"
"SZ","002156","Tongfu Microelectronics","","002156.SZ","SZ002156","sz","","advanced packaging"
"SZ","002185","Huatian Technology","","002185.SZ","SZ002185","sz","","semiconductor packaging"
"SZ","002230","Iflytek","","002230.SZ","SZ002230","sz","","AI application"
"SZ","002236","Dahua Technology","","002236.SZ","SZ002236","sz","","AI vision"
"SZ","002241","Goertek","","002241.SZ","SZ002241","sz","","consumer electronics and MR hardware"
"SZ","002281","Accelink Technologies","","002281.SZ","SZ002281","sz","","optical communication modules"
"SZ","002371","NAURA Technology","","002371.SZ","SZ002371","sz","","semiconductor equipment"
"SZ","002405","NavInfo","","002405.SZ","SZ002405","sz","","automotive software and maps"
"SZ","002410","Glodon","","002410.SZ","SZ002410","sz","","construction software and AI"
"SZ","002415","Hikvision","","002415.SZ","SZ002415","sz","","AI vision"
"SZ","002463","WUS Printed Circuit","","002463.SZ","SZ002463","sz","","AI server PCB"
"SZ","002472","Shuanghuan Driveline","","002472.SZ","SZ002472","sz","","robot reducer and precision transmission"
"SZ","002475","Luxshare Precision","","002475.SZ","SZ002475","sz","","consumer electronics and AI hardware supply chain"
"SZ","002600","Lingyi iTech","","002600.SZ","SZ002600","sz","","consumer electronics components"
"SZ","002747","Estun Automation","","002747.SZ","SZ002747","sz","","industrial robotics"
"SZ","002916","Shennan Circuits","","002916.SZ","SZ002916","sz","","AI server PCB and packaging substrate"
"SZ","002920","Desay SV","","002920.SZ","SZ002920","sz","","smart cockpit and autonomous driving"
"SZ","002938","Avary Holding","","002938.SZ","SZ002938","sz","","consumer electronics PCB"
"SZ","300024","Siasun Robot","","300024.SZ","SZ300024","sz","","robotics"
"SZ","300033","Hithink RoyalFlush","","300033.SZ","SZ300033","sz","","financial AI software"
"SZ","300059","East Money","","300059.SZ","SZ300059","sz","","internet finance platform"
"SZ","300124","Inovance Technology","","300124.SZ","SZ300124","sz","","industrial automation and robotics"
"SZ","300229","TRS Information","","300229.SZ","SZ300229","sz","","AI data and government software"
"SZ","300308","Zhongji Innolight","","300308.SZ","SZ300308","sz","","optical modules and data center"
"SZ","300369","NSFOCUS","","300369.SZ","SZ300369","sz","","cybersecurity"
"SZ","300394","TFC Communication","","300394.SZ","SZ300394","sz","","optical components"
"SZ","300408","Chaozhou Three-Circle","","300408.SZ","SZ300408","sz","","ceramic components and electronics"
"SZ","300418","Kunlun Tech","","300418.SZ","SZ300418","sz","","AI application and internet platform"
"SZ","300433","Lens Technology","","300433.SZ","SZ300433","sz","","consumer electronics"
"SZ","300454","Sangfor Technologies","","300454.SZ","SZ300454","sz","","cybersecurity and cloud"
"SZ","300476","Victory Giant Technology","","300476.SZ","SZ300476","sz","","high-speed PCB"
"SZ","300496","Thunder Software","","300496.SZ","SZ300496","sz","","edge AI and smart cockpit software"
"SZ","300502","Eoptolink","","300502.SZ","SZ300502","sz","","optical modules"
"SZ","300570","T&S Communications","","300570.SZ","SZ300570","sz","","optical communication components"
"SZ","300661","SG Micro","","300661.SZ","SZ300661","sz","","analog chips"
"SZ","300735","Guanghong Technology","","300735.SZ","SZ300735","sz","","electronics manufacturing"
"SZ","300782","Maxscend Microelectronics","","300782.SZ","SZ300782","sz","","RF chips"
"SH","600183","Shengyi Technology","","600183.SS","SH600183","sh","","copper clad laminate and PCB materials"
"SH","600460","Silan Micro","","600460.SS","SH600460","sh","","IDM semiconductor"
"SH","600570","Hundsun Technologies","","600570.SS","SH600570","sh","","financial software"
"SH","600845","Baosight Software","","600845.SS","SH600845","sh","","industrial software and cloud"
"SH","601138","Foxconn Industrial Internet","","601138.SS","SH601138","sh","","AI server and industrial internet"
"SH","603019","Dawning Information","","603019.SS","SH603019","sh","","servers and supercomputing"
"SH","603228","Jingwang Electronics","","603228.SS","SH603228","sh","","PCB"
"SH","603501","Will Semiconductor","","603501.SS","SH603501","sh","","image sensor and chips"
"SH","603986","GigaDevice","","603986.SS","SH603986","sh","","memory and MCU chips"
"SH","688008","Montage Technology","","688008.SS","SH688008","sh","","memory interface chips"
"SH","688012","AMEC","","688012.SS","SH688012","sh","","semiconductor equipment"
"SH","688017","Green Harmonic","","688017.SS","SH688017","sh","","harmonic reducers for robotics"
"SH","688019","Anji Microelectronics","","688019.SS","SH688019","sh","","semiconductor materials"
"SH","688023","DBAPPSecurity","","688023.SS","SH688023","sh","","cybersecurity"
"SH","688036","Transsion","","688036.SS","SH688036","sh","","consumer electronics"
"SH","688041","Hygon Information","","688041.SS","SH688041","sh","","CPU and AI chips"
"SH","688072","Piotech","","688072.SS","SH688072","sh","","semiconductor equipment"
"SH","688082","ACM Research Shanghai","","688082.SS","SH688082","sh","","semiconductor cleaning equipment"
"SH","688099","Amlogic","","688099.SS","SH688099","sh","","AIoT chips"
"SH","688111","Kingsoft Office","","688111.SS","SH688111","sh","","software and AI office"
"SH","688120","Hwatsing Technology","","688120.SS","SH688120","sh","","semiconductor CMP equipment"
"SH","688126","National Silicon","","688126.SS","SH688126","sh","","semiconductor wafers"
"SH","688183","Shengyi Electronics","","688183.SS","SH688183","sh","","high-speed PCB"
"SH","688208","Autel Intelligent","","688208.SS","SH688208","sh","","automotive diagnostics and smart hardware"
"SH","688256","Cambricon","","688256.SS","SH688256","sh","","AI chip"
"SH","688327","CloudWalk","","688327.SS","SH688327","sh","","AI application"
"SH","688347","Hua Hong Company","","688347.SS","SH688347","sh","","semiconductor foundry"
"SH","688385","Fudan Microelectronics","","688385.SS","SH688385","sh","","FPGA and security chips"
"SH","688396","China Resources Micro","","688396.SS","SH688396","sh","","power semiconductor and MCU"
"SH","688521","Verisilicon","","688521.SS","SH688521","sh","","chip IP"
"SH","688561","Qi An Xin","","688561.SS","SH688561","sh","","cybersecurity"
"SH","688777","Supcon Technology","","688777.SS","SH688777","sh","","industrial software and automation"
"SH","688981","SMIC","","688981.SS","SH688981","sh","","semiconductor foundry"
