"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SZ","300024","Siasun Robot","","300024.SZ","SZ300024","sz","","robotics"
"SZ","300033","Hithink RoyalFlush","","300033.SZ","SZ300033","sz","","financial AI software"
"SZ","300059","East Money","","300059.SZ","SZ300059","sz","","internet finance platform"
"SZ","300124","Inovance Technology","","300124.SZ","SZ300124","sz","","industrial automation and robotics"
"SZ","300229","TRS Information","","300229.SZ","SZ300229","sz","","AI data and government software"
"SZ","300308","Zhongji Innolight","","300308.SZ","SZ300308","sz","","optical modules and data center"
"SZ","300369","NSFOCUS","","300369.SZ","SZ300369","sz","","cybersecurity"
"SZ","300394","TFC Communication","","300394.SZ","SZ300394","sz","","optical components"
"SZ","300408","Chaozhou Three-Circle","","300408.SZ","SZ300408","sz","","ceramic components and electronics"
"SZ","300418","Kunlun Tech","","300418.SZ","SZ300418","sz","","AI application and internet platform"
"SZ","300433","Lens Technology","","300433.SZ","SZ300433","sz","","consumer electronics"
"SZ","300454","Sangfor Technologies","","300454.SZ","SZ300454","sz","","cybersecurity and cloud"
"SZ","300476","Victory Giant Technology","","300476.SZ","SZ300476","sz","","high-speed PCB"
"SZ","300496","Thunder Software","","300496.SZ","SZ300496","sz","","edge AI and smart cockpit software"
"SZ","300502","Eoptolink","","300502.SZ","SZ300502","sz","","optical modules"
"SZ","300570","T&S Communications","","300570.SZ","SZ300570","sz","","optical communication components"
"SZ","300661","SG Micro","","300661.SZ","SZ300661","sz","","analog chips"
"SZ","300735","Guanghong Technology","","300735.SZ","SZ300735","sz","","electronics manufacturing"
"SZ","300782","Maxscend Microelectronics","","300782.SZ","SZ300782","sz","","RF chips"
"SH","600183","Shengyi Technology","","600183.SS","SH600183","sh","","copper clad laminate and PCB materials"
"SH","600460","Silan Micro","","600460.SS","SH600460","sh","","IDM semiconductor"
"SH","600570","Hundsun Technologies","","600570.SS","SH600570","sh","","financial software"
"SH","600845","Baosight Software","","600845.SS","SH600845","sh","","industrial software and cloud"
