"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SZ","300002","神州泰岳","","300002.SZ","SZ300002","sz","","I64互联网和相关服务"
"SZ","300007","汉威科技","","300007.SZ","SZ300007","sz","","I65软件和信息技术服务业"
"SZ","300017","网宿科技","","300017.SZ","SZ300017","sz","","I65软件和信息技术服务业"
"SZ","300024","机器人","","300024.SZ","SZ300024","sz","","C34通用设备制造业"
"SZ","300025","华星创业","","300025.SZ","SZ300025","sz","","I65软件和信息技术服务业"
"SZ","300031","宝通科技","","300031.SZ","SZ300031","sz","","I64互联网和相关服务"
"SZ","300032","金龙机电","","300032.SZ","SZ300032","sz","","C38电气机械和器材制造业"
"SZ","300035","中科电气","","300035.SZ","SZ300035","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300036","超图软件","","300036.SZ","SZ300036","sz","","I65软件和信息技术服务业"
"SZ","300037","新宙邦","","300037.SZ","SZ300037","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300042","朗科科技","","300042.SZ","SZ300042","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300043","星辉娱乐","","300043.SZ","SZ300043","sz","","I64互联网和相关服务"
"SZ","300045","华力创通","","300045.SZ","SZ300045","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300046","台基股份","","300046.SZ","SZ300046","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300047","天源迪科","","300047.SZ","SZ300047","sz","","I65软件和信息技术服务业"
"SZ","300050","世纪鼎利","","300050.SZ","SZ300050","sz","","I65软件和信息技术服务业"
"SZ","300051","琏升科技","","300051.SZ","SZ300051","sz","","I65软件和信息技术服务业"
"SZ","300052","中青宝","","300052.SZ","SZ300052","sz","","I64互联网和相关服务"
"SZ","300053","航宇微","","300053.SZ","SZ300053","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300054","鼎龙股份","","300054.SZ","SZ300054","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300062","中能电气","","300062.SZ","SZ300062","sz","","C38电气机械和器材制造业"
"SZ","300065","海兰信","","300065.SZ","SZ300065","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300069","金利华电","","300069.SZ","SZ300069","sz","","C38电气机械和器材制造业"
"SZ","300073","当升科技","","300073.SZ","SZ300073","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300074","华平股份","","300074.SZ","SZ300074","sz","","I65软件和信息技术服务业"
"SZ","300075","数字政通","","300075.SZ","SZ300075","sz","","I65软件和信息技术服务业"
"SZ","300077","国民技术","","300077.SZ","SZ300077","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300078","思创智联","","300078.SZ","SZ300078","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300079","数码视讯","","300079.SZ","SZ300079","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300085","银之杰","","300085.SZ","SZ300085","sz","","I65软件和信息技术服务业"
"SZ","300088","长信科技","","300088.SZ","SZ300088","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300092","科新机电","","300092.SZ","SZ300092","sz","","C35专用设备制造业"
"SZ","300093","金刚光伏","","300093.SZ","SZ300093","sz","","C38电气机械和器材制造业"
"SZ","300097","智云股份","","300097.SZ","SZ300097","sz","","C35专用设备制造业"
"SZ","300098","高新兴","","300098.SZ","SZ300098","sz","","I65软件和信息技术服务业"
"SZ","300101","振芯科技","","300101.SZ","SZ300101","sz","","I65软件和信息技术服务业"
"SZ","300102","乾照光电","","300102.SZ","SZ300102","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300113","顺网科技","","300113.SZ","SZ300113","sz","","I64互联网和相关服务"
"SZ","300115","长盈精密","","300115.SZ","SZ300115","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300120","经纬辉开","","300120.SZ","SZ300120","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300127","银河磁体","","300127.SZ","SZ300127","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300128","锦富技术","","300128.SZ","SZ300128","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300134","大富科技","","300134.SZ","SZ300134","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300136","信维通信","","300136.SZ","SZ300136","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300141","和顺电气","","300141.SZ","SZ300141","sz","","C38电气机械和器材制造业"
"SZ","300150","世纪瑞尔","","300150.SZ","SZ300150","sz","","I65软件和信息技术服务业"
"SZ","300151","昌红科技","","300151.SZ","SZ300151","sz","","C35专用设备制造业"
"SZ","300153","科泰电源","","300153.SZ","SZ300153","sz","","C38电气机械和器材制造业"
"SZ","300155","安居宝","","300155.SZ","SZ300155","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300162","雷曼光电","","300162.SZ","SZ300162","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300165","天瑞仪器","","300165.SZ","SZ300165","sz","","C40仪器仪表制造业"
"SZ","300166","东方国信","","300166.SZ","SZ300166","sz","","I65软件和信息技术服务业"
"SZ","300168","万达信息","","300168.SZ","SZ300168","sz","","I65软件和信息技术服务业"
"SZ","300170","汉得信息","","300170.SZ","SZ300170","sz","","I65软件和信息技术服务业"
"SZ","300177","中海达","","300177.SZ","SZ300177","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300188","国投智能","","300188.SZ","SZ300188","sz","","I65软件和信息技术服务业"
"SZ","300193","佳士科技","","300193.SZ","SZ300193","sz","","C34通用设备制造业"
"SZ","300203","聚光科技","","300203.SZ","SZ300203","sz","","C40仪器仪表制造业"
"SZ","300206","理邦仪器","","300206.SZ","SZ300206","sz","","C35专用设备制造业"
"SZ","300213","佳讯飞鸿","","300213.SZ","SZ300213","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300217","东方电热","","300217.SZ","SZ300217","sz","","C35专用设备制造业"
"SZ","300219","鸿利智汇","","300219.SZ","SZ300219","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300220","金运激光","","300220.SZ","SZ300220","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300222","科大智能","","300222.SZ","SZ300222","sz","","C34通用设备制造业"
"SZ","300223","北京君正","","300223.SZ","SZ300223","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300227","光韵达","","300227.SZ","SZ300227","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300229","拓尔思","","300229.SZ","SZ300229","sz","","I65软件和信息技术服务业"
"SZ","300231","银信科技","","300231.SZ","SZ300231","sz","","I65软件和信息技术服务业"
"SZ","300232","洲明科技","","300232.SZ","SZ300232","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300235","方直科技","","300235.SZ","SZ300235","sz","","I65软件和信息技术服务业"
"SZ","300236","上海新阳","","300236.SZ","SZ300236","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300241","瑞丰光电","","300241.SZ","SZ300241","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300248","新开普","","300248.SZ","SZ300248","sz","","I65软件和信息技术服务业"
"SZ","300249","依米康","","300249.SZ","SZ300249","sz","","I65软件和信息技术服务业"
"SZ","300250","初灵信息","","300250.SZ","SZ300250","sz","","I65软件和信息技术服务业"
"SZ","300253","卫宁健康","","300253.SZ","SZ300253","sz","","I65软件和信息技术服务业"
"SZ","300256","星星科技","","300256.SZ","SZ300256","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300259","新天科技","","300259.SZ","SZ300259","sz","","C40仪器仪表制造业"
"SZ","300263","隆华科技","","300263.SZ","SZ300263","sz","","C34通用设备制造业"
"SZ","300264","佳创视讯","","300264.SZ","SZ300264","sz","","I65软件和信息技术服务业"
"SZ","300265","通光线缆","","300265.SZ","SZ300265","sz","","C38电气机械和器材制造业"
"SZ","300269","联建光电","","300269.SZ","SZ300269","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300270","中威电子","","300270.SZ","SZ300270","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300271","华宇软件","","300271.SZ","SZ300271","sz","","I65软件和信息技术服务业"
"SZ","300274","阳光电源","","300274.SZ","SZ300274","sz","","C38电气机械和器材制造业"
"SZ","300275","梅安森","","300275.SZ","SZ300275","sz","","I65软件和信息技术服务业"
"SZ","300276","三丰智能","","300276.SZ","SZ300276","sz","","C35专用设备制造业"
"SZ","300277","汽轮科技","","300277.SZ","SZ300277","sz","","I65软件和信息技术服务业"
"SZ","300279","和晶科技","","300279.SZ","SZ300279","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300287","飞利信","","300287.SZ","SZ300287","sz","","I65软件和信息技术服务业"
"SZ","300288","朗玛信息","","300288.SZ","SZ300288","sz","","I63电信、广播电视和卫星传输服务"
"SZ","300290","荣科科技","","300290.SZ","SZ300290","sz","","I65软件和信息技术服务业"
"SZ","300292","吴通控股","","300292.SZ","SZ300292","sz","","I65软件和信息技术服务业"
"SZ","300296","利亚德","","300296.SZ","SZ300296","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300299","富春股份","","300299.SZ","SZ300299","sz","","I64互联网和相关服务"
"SZ","300300","海峡创新","","300300.SZ","SZ300300","sz","","I65软件和信息技术服务业"
"SZ","300302","同有科技","","300302.SZ","SZ300302","sz","","I65软件和信息技术服务业"
"SZ","300303","聚飞光电","","300303.SZ","SZ300303","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300306","远方信息","","300306.SZ","SZ300306","sz","","C40仪器仪表制造业"
"SZ","300308","中际旭创","","300308.SZ","SZ300308","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300310","宜通世纪","","300310.SZ","SZ300310","sz","","I63电信、广播电视和卫星传输服务"
"SZ","300315","掌趣科技","","300315.SZ","SZ300315","sz","","I64互联网和相关服务"
"SZ","300316","晶盛机电","","300316.SZ","SZ300316","sz","","C35专用设备制造业"
"SZ","300319","麦捷科技","","300319.SZ","SZ300319","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300322","硕贝德","","300322.SZ","SZ300322","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300323","华灿光电","","300323.SZ","SZ300323","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300324","旋极信息","","300324.SZ","SZ300324","sz","","I65软件和信息技术服务业"
"SZ","300327","中颖电子","","300327.SZ","SZ300327","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300331","苏大维格","","300331.SZ","SZ300331","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300333","兆日科技","","300333.SZ","SZ300333","sz","","I65软件和信息技术服务业"
"SZ","300334","津膜科技","","300334.SZ","SZ300334","sz","","C35专用设备制造业"
"SZ","300339","润和软件","","300339.SZ","SZ300339","sz","","I65软件和信息技术服务业"
"SZ","300340","科恒股份","","300340.SZ","SZ300340","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300342","天银机电","","300342.SZ","SZ300342","sz","","C34通用设备制造业"
"SZ","300346","南大光电","","300346.SZ","SZ300346","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300348","长亮科技","","300348.SZ","SZ300348","sz","","I65软件和信息技术服务业"
"SZ","300349","金卡智能","","300349.SZ","SZ300349","sz","","I65软件和信息技术服务业"
"SZ","300351","永贵电器","","300351.SZ","SZ300351","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300353","东土科技","","300353.SZ","SZ300353","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300358","楚天科技","","300358.SZ","SZ300358","sz","","C35专用设备制造业"
"SZ","300360","炬华科技","","300360.SZ","SZ300360","sz","","C40仪器仪表制造业"
"SZ","300365","恒华科技","","300365.SZ","SZ300365","sz","","I65软件和信息技术服务业"
"SZ","300368","汇金股份","","300368.SZ","SZ300368","sz","","I65软件和信息技术服务业"
"SZ","300369","绿盟科技","","300369.SZ","SZ300369","sz","","I65软件和信息技术服务业"
"SZ","300370","安控科技","","300370.SZ","SZ300370","sz","","C40仪器仪表制造业"
"SZ","300373","扬杰科技","","300373.SZ","SZ300373","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300377","赢时胜","","300377.SZ","SZ300377","sz","","I65软件和信息技术服务业"
"SZ","300378","鼎捷数智","","300378.SZ","SZ300378","sz","","I65软件和信息技术服务业"
"SZ","300380","安硕信息","","300380.SZ","SZ300380","sz","","I65软件和信息技术服务业"
"SZ","300383","光环新网","","300383.SZ","SZ300383","sz","","I65软件和信息技术服务业"
"SZ","300386","飞天诚信","","300386.SZ","SZ300386","sz","","I65软件和信息技术服务业"
"SZ","300389","艾比森","","300389.SZ","SZ300389","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300390","天华新能","","300390.SZ","SZ300390","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300394","天孚通信","","300394.SZ","SZ300394","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300397","天和防务","","300397.SZ","SZ300397","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300399","天利科技","","300399.SZ","SZ300399","sz","","I65软件和信息技术服务业"
"SZ","300408","三环集团","","300408.SZ","SZ300408","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300409","道氏技术","","300409.SZ","SZ300409","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300410","正业科技","","300410.SZ","SZ300410","sz","","C35专用设备制造业"
"SZ","300412","迦南科技","","300412.SZ","SZ300412","sz","","C35专用设备制造业"
"SZ","300413","芒果超媒","","300413.SZ","SZ300413","sz","","I64互联网和相关服务"
"SZ","300414","中光防雷","","300414.SZ","SZ300414","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300417","南华仪器","","300417.SZ","SZ300417","sz","","C40仪器仪表制造业"
"SZ","300418","昆仑万维","","300418.SZ","SZ300418","sz","","I64互联网和相关服务"
"SZ","300423","昇辉科技","","300423.SZ","SZ300423","sz","","C38电气机械和器材制造业"
"SZ","300433","蓝思科技","","300433.SZ","SZ300433","sz","","C39计算机、通信和其他电子设备制造业"
"SZ","300440","运达科技","","300440.SZ","SZ300440","sz","","I65软件和信息技术服务业"
"SZ","300442","润泽科技","","300442.SZ","SZ300442","sz","","I65软件和信息技术服务业"
