"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SZ","300308","中际旭创","","300308.SZ","SZ300308","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=38125307256; last_amount=36721292927"
"SZ","300502","新易盛","","300502.SZ","SZ300502","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=28748030648; last_amount=36573804618"
"SH","600487","亨通光电","","600487.SS","SH600487","sh","","C38电气机械和器材制造业; avg20_amount=20890414023; last_amount=14660074216"
"SH","600522","中天科技","","600522.SS","SH600522","sh","","C38电气机械和器材制造业; avg20_amount=18626887666; last_amount=14677258176"
"SH","600584","长电科技","","600584.SS","SH600584","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=18488036488; last_amount=18686955465"
"SZ","300394","天孚通信","","300394.SZ","SZ300394","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=16720507684; last_amount=13743261691"
"SZ","300476","胜宏科技","","300476.SZ","SZ300476","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=15314627416; last_amount=12142667559"
"SH","600183","生益科技","","600183.SS","SH600183","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=13300140198; last_amount=11137316608"
"SZ","301308","江波龙","","301308.SZ","SZ301308","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=11889947872; last_amount=12772326633"
"SZ","300274","阳光电源","","300274.SZ","SZ300274","sz","","C38电气机械和器材制造业; avg20_amount=11465578291; last_amount=11600252071"
"SZ","300408","三环集团","","300408.SZ","SZ300408","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=11418910586; last_amount=13653519116"
"SZ","300136","信维通信","","300136.SZ","SZ300136","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=11121317771; last_amount=7898287097"
"SZ","300433","蓝思科技","","300433.SZ","SZ300433","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=9696194056; last_amount=7444093495"
"SH","600498","烽火通信","","600498.SS","SH600498","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=9505255916; last_amount=5166256850"
"SZ","300223","北京君正","","300223.SZ","SZ300223","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=9285748896; last_amount=11500532403"
"SZ","300604","长川科技","","300604.SZ","SZ300604","sz","","C35专用设备制造业; avg20_amount=8361951985; last_amount=12372749899"
