"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SH","600089","特变电工","","600089.SS","SH600089","sh","","C38电气机械和器材制造业; avg20_amount=3276362101; last_amount=2452950905; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600406","国电南瑞","","600406.SS","SH600406","sh","","I65软件和信息技术服务业; avg20_amount=1559596887; last_amount=1313526541; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600050","中国联通","","600050.SS","SH600050","sh","","I63电信、广播电视和卫星传输服务; avg20_amount=660798366; last_amount=609852688; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600183","生益科技","","600183.SS","SH600183","sh","","copper clad laminate and PCB materials; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","603019","中科曙光","","603019.SS","SH603019","sh","","servers and supercomputing; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","603501","豪威集团","","603501.SS","SH603501","sh","","image sensor and chips; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","603986","兆易创新","","603986.SS","SH603986","sh","","memory and MCU chips; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600028","中国石化","","600028.SS","SH600028","sh","","B07石油和天然气开采业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600030","中信证券","","600030.SS","SH600030","sh","","J67资本市场服务; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600031","三一重工","","600031.SS","SH600031","sh","","C35专用设备制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600036","招商银行","","600036.SS","SH600036","sh","","J66货币金融服务; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600111","北方稀土","","600111.SS","SH600111","sh","","C32有色金属冶炼和压延加工业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600150","中国船舶","","600150.SS","SH600150","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600276","恒瑞医药","","600276.SS","SH600276","sh","","C27医药制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600309","万华化学","","600309.SS","SH600309","sh","","C26化学原料和化学制品制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600519","贵州茅台","","600519.SS","SH600519","sh","","C15酒、饮料和精制茶制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600760","中航沈飞","","600760.SS","SH600760","sh","","C37铁路、船舶、航空航天和其他运输设备制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600809","山西汾酒","","600809.SS","SH600809","sh","","C15酒、饮料和精制茶制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600887","伊利股份","","600887.SS","SH600887","sh","","C14食品制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600900","长江电力","","600900.SS","SH600900","sh","","D44电力、热力生产和供应业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","600930","华电新能","","600930.SS","SH600930","sh","","D44电力、热力生产和供应业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
"SH","601012","隆基绿能","","601012.SS","SH601012","sh","","C38电气机械和器材制造业; index_source=sz50; index_update=2026-06-29; index_source=hs300; index_update=2026-06-29"
